iter	Logloss
0	0.6797492192
1	0.6670332942
2	0.6544635295
3	0.6435279867
4	0.6322766306
5	0.62124628
6	0.6106910736
7	0.6013012111
8	0.592247618
9	0.5839569714
10	0.5757885256
11	0.5690623145
12	0.5620542133
13	0.5551732767
14	0.5492699012
15	0.5426663277
16	0.5367292452
17	0.5311920703
18	0.5259202405
19	0.5212676424
20	0.5164498895
21	0.5117421809
22	0.5080451297
23	0.5040387505
24	0.4995651474
25	0.4955829089
26	0.4923426611
27	0.4888332466
28	0.4858050078
29	0.4824066656
30	0.4794703411
31	0.4762533135
32	0.4735172721
33	0.4709435845
34	0.4681090566
35	0.4657917312
36	0.4630859331
37	0.4608971773
38	0.4587613632
39	0.4566917242
40	0.4547030489
41	0.4527836985
42	0.4508266907
43	0.4491685633
44	0.4473518585
45	0.4454216552
46	0.4438485913
47	0.4422597782
48	0.4410418474
49	0.439696084
50	0.4383308923
51	0.437041266
52	0.4355459844
53	0.4343308577
54	0.4329289502
55	0.4315646146
56	0.4304897121
57	0.4293000388
58	0.4281698664
59	0.4270809201
60	0.4260586777
61	0.4251674837
62	0.4241045809
63	0.4230426825
64	0.422129594
65	0.4212937301
66	0.4203767721
67	0.4196902445
68	0.4188788221
69	0.4178981422
70	0.4171412511
71	0.4164784595
72	0.4157648745
73	0.4150896063
74	0.41436632
75	0.4137601441
76	0.4130346076
77	0.4122501682
78	0.4115193465
79	0.410993586
80	0.4104293483
81	0.4097043175
82	0.4092019282
83	0.4085656832
84	0.4081201928
85	0.407560738
86	0.4071492486
87	0.4066173836
88	0.4060781345
89	0.4055316791
90	0.4051001524
91	0.4047710536
92	0.4042657397
93	0.4037245297
94	0.4032613183
95	0.4028272012
96	0.4023867881
97	0.4019793961
98	0.4019170557
99	0.401553002
100	0.4010791964
101	0.4007454668
102	0.4002877296
103	0.3997968592
104	0.3994248982
105	0.3991403133
106	0.3987104824
107	0.3984226662
108	0.3980640997
109	0.3977681191
110	0.3973331715
111	0.3970178513
112	0.3966330901
113	0.3963570558
114	0.3959756991
115	0.3957511455
116	0.3954186549
117	0.3950549102
118	0.3946289921
